PID   COMMAND          COMMAND
    1 init             /init --second-stage
    2 kthreadd         [kthreadd]
    3 ksoftirqd/0      [ksoftirqd/0]
    4 kworker/0:0      [kworker/0:0]
    5 kworker/0:0H     [kworker/0:0H]
    6 kworker/u8:0     [kworker/u8:0]
    7 rcu_preempt      [rcu_preempt]
    8 rcu_sched        [rcu_sched]
    9 rcu_bh           [rcu_bh]
   10 migration/0      [migration/0]
   11 watchdog/0       [watchdog/0]
   12 watchdog/1       [watchdog/1]
   13 migration/1      [migration/1]
   14 ksoftirqd/1      [ksoftirqd/1]
   15 kworker/1:0      [kworker/1:0]
   16 kworker/1:0H     [kworker/1:0H]
   17 watchdog/2       [watchdog/2]
   18 migration/2      [migration/2]
   19 ksoftirqd/2      [ksoftirqd/2]
   20 kworker/2:0      [kworker/2:0]
   21 kworker/2:0H     [kworker/2:0H]
   22 watchdog/3       [watchdog/3]
   23 migration/3      [migration/3]
   24 ksoftirqd/3      [ksoftirqd/3]
   25 kworker/3:0      [kworker/3:0]
   26 kworker/3:0H     [kworker/3:0H]
   27 khelper          [khelper]
   28 netns            [netns]
   29 perf             [perf]
   30 smd_channel_clo  [smd_channel_clo]
   31 dsps_smd_trans_  [dsps_smd_trans_]
   32 lpass_smd_trans  [lpass_smd_trans]
   33 mpss_smd_trans_  [mpss_smd_trans_]
   34 wcnss_smd_trans  [wcnss_smd_trans]
   35 rpm_smd_trans_g  [rpm_smd_trans_g]
   36 msm_watchdog     [msm_watchdog]
   37 kworker/1:1      [kworker/1:1]
   38 rpm_requests     [rpm_requests]
   39 smem_native_mps  [smem_native_mps]
   40 mpss_smem_glink  [mpss_smem_glink]
   41 smem_native_lpa  [smem_native_lpa]
   42 lpass_smem_glin  [lpass_smem_glin]
   43 smem_native_dsp  [smem_native_dsp]
   44 dsps_smem_glink  [dsps_smem_glink]
   45 smem_native_rpm  [smem_native_rpm]
   46 rpm_smem_glink_  [rpm_smem_glink_]
   47 kworker/0:1      [kworker/0:1]
   48 kworker/u8:1     [kworker/u8:1]
   49 deferwq          [deferwq]
   50 irq/114-cpr3     [irq/114-cpr3]
   51 irq/115-cpr3_ce  [irq/115-cpr3_ce]
   52 irq/116-cpr3     [irq/116-cpr3]
   53 mpm              [mpm]
   54 kworker/u8:2     [kworker/u8:2]
   55 kworker/u8:3     [kworker/u8:3]
   74 writeback        [writeback]
   75 crypto           [crypto]
   76 bioset           [bioset]
   77 kblockd          [kblockd]
   84 irq/247-max7785  [irq/247-max7785]
   91 system           [system]
